단축코드,한글종목약명,시장구분
095570,AJ네트웍스,KOSPI
006840,AK홀딩스,KOSPI
282330,BGF리테일,KOSPI
027410,BGF,KOSPI
138930,BNK금융지주,KOSPI
001465,BYC우,KOSPI
001460,BYC,KOSPI
001045,CJ우,KOSPI
00104K,CJ4우(전환),KOSPI
001040,CJ,KOSPI
011155,CJ씨푸드1우,KOSPI
011150,CJ씨푸드,KOSPI
000590,CS홀딩스,KOSPI
012030,DB,KOSPI
016610,DB금융투자,KOSPI
005830,DB손해보험,KOSPI
000995,DB하이텍1우,KOSPI
000990,DB하이텍,KOSPI
139130,DGB금융지주,KOSPI
001530,DI동일,KOSPI
000215,DL우,KOSPI
001880,DL건설,KOSPI
000210,DL,KOSPI
37550K,DL이앤씨우,KOSPI
375500,DL이앤씨,KOSPI
155660,DSR,KOSPI
069730,DSR제강,KOSPI
017940,E1,KOSPI
365550,ESR켄달스퀘어리츠,KOSPI
383220,F&F,KOSPI
007700,F&F홀딩스,KOSPI
078935,GS우,KOSPI
006360,GS건설,KOSPI
078930,GS,KOSPI
012630,HDC,KOSPI
294870,HDC현대산업개발,KOSPI
003560,IHQ,KOSPI
175330,JB금융지주,KOSPI
234080,JW생명과학,KOSPI
001065,JW중외제약우,KOSPI
001067,JW중외제약2우B,KOSPI
001060,JW중외제약,KOSPI
096760,JW홀딩스,KOSPI
105560,KB금융,KOSPI
009070,KCTC,KOSPI
016385,KG동부제철우,KOSPI
016380,KG동부제철,KOSPI
001390,KG케미칼,KOSPI
033180,KH 필룩스,KOSPI
001940,KISCO홀딩스,KOSPI
025000,KPX케미칼,KOSPI
092230,KPX홀딩스,KOSPI
000040,KR모터스,KOSPI
093050,LF,KOSPI
003555,LG우,KOSPI
034220,LG디스플레이,KOSPI
003550,LG,KOSPI
051905,LG생활건강우,KOSPI
051900,LG생활건강,KOSPI
032640,LG유플러스,KOSPI
011070,LG이노텍,KOSPI
066575,LG전자우,KOSPI
066570,LG전자,KOSPI
051915,LG화학우,KOSPI
051910,LG화학,KOSPI
079550,LIG넥스원,KOSPI
010120,LS ELECTRIC,KOSPI
000680,LS네트웍스,KOSPI
006260,LS,KOSPI
001120,LX인터내셔널,KOSPI
023150,MH에탄올,KOSPI
035420,NAVER,KOSPI
181710,NHN,KOSPI
338100,NH프라임리츠,KOSPI
034310,NICE,KOSPI
008260,NI스틸,KOSPI
004255,NPC우,KOSPI
004250,NPC,KOSPI
010060,OCI,KOSPI
010955,S-Oil우,KOSPI
010950,S-Oil,KOSPI
101060,SBS미디어홀딩스,KOSPI
005090,SGC에너지,KOSPI
001380,SG글로벌,KOSPI
001770,SHD,KOSPI
002360,SH에너지화학,KOSPI
009160,SIMPAC,KOSPI
123700,SJM,KOSPI
025530,SJM홀딩스,KOSPI
03473K,SK우,KOSPI
011790,SKC,KOSPI
018670,SK가스,KOSPI
001745,SK네트웍스우,KOSPI
001740,SK네트웍스,KOSPI
210980,SK디앤디,KOSPI
034730,SK,KOSPI
361610,SK아이이테크놀로지,KOSPI
096775,SK이노베이션우,KOSPI
096770,SK이노베이션,KOSPI
001515,SK증권우,KOSPI
001510,SK증권,KOSPI
28513K,SK케미칼우,KOSPI
285130,SK케미칼,KOSPI
017670,SK텔레콤,KOSPI
064960,SNT모티브,KOSPI
100840,SNT에너지,KOSPI
003570,SNT중공업,KOSPI
036530,SNT홀딩스,KOSPI
005610,SPC삼립,KOSPI
011810,STX,KOSPI
077970,STX엔진,KOSPI
071970,STX중공업,KOSPI
084870,TBH글로벌,KOSPI
002710,TCC스틸,KOSPI
024070,WISCOM,KOSPI
000500,가온전선,KOSPI
000860,강남제비스코,KOSPI
035250,강원랜드,KOSPI
011420,갤럭시아에스엠,KOSPI
002100,경농,KOSPI
009450,경동나비엔,KOSPI
267290,경동도시가스,KOSPI
012320,경동인베스트,KOSPI
000050,경방,KOSPI
214390,경보제약,KOSPI
012610,경인양행,KOSPI
009140,경인전자,KOSPI
013580,계룡건설,KOSPI
012205,계양전기우,KOSPI
012200,계양전기,KOSPI
002140,고려산업,KOSPI
010130,고려아연,KOSPI
002240,고려제강,KOSPI
009290,광동제약,KOSPI
017040,광명전기,KOSPI
017900,광전자,KOSPI
037710,광주신세계,KOSPI
030610,교보증권,KOSPI
339770,교촌에프앤비,KOSPI
007690,국도화학,KOSPI
005320,국동,KOSPI
001140,국보,KOSPI
002720,국제약품,KOSPI
114090,GKL,KOSPI
083420,그린케미칼,KOSPI
014530,극동유화,KOSPI
014285,금강공업우,KOSPI
014280,금강공업,KOSPI
008870,금비,KOSPI
